TAA_Bin,Gen_Total,Gen_PSD,Gen_TD,Gen_SWS,Gen_MMV,Gen_PSD_Dawn,Gen_PSD_Dusk,Gen_TD_Dawn,Gen_TD_Dusk,Gen_SWS_Dawn,Gen_SWS_Dusk,Gen_MMV_Dawn,Gen_MMV_Dusk,Gen_PSD_Dawn_Terminator,Gen_TD_Dawn_Terminator,Max_Flux_PSD,Min_Flux_PSD,Max_Flux_TD,Min_Flux_TD,Max_Flux_SWS,Min_Flux_SWS,Max_Flux_MMV,Min_Flux_MMV,Pct_PSD,Pct_TD,Pct_SWS,Pct_MMV,Loss_Total,Loss_Stuck,Loss_Ionized,Loss_Escaped,Supply_Internal,Trans_Inward,Pct_Stuck,Pct_Ionized,Pct_Escaped
0,8.5374e+29,1.7888e+29,6.6771e+29,3.6000e+26,6.7900e+27,1.1473e+29,6.4150e+28,3.4749e+29,3.2022e+29,1.8000e+26,1.8000e+26,3.5500e+27,3.2400e+27,4.7300e+28,3.2500e+27,4.2586e+08,2.6962e+06,1.5654e+09,6.6089e-06,2.2559e+06,1.9797e+04,6.6625e+05,6.6622e+05,21.0,78.2,0.0,0.8,8.5321e+29,8.3182e+29,2.1260e+28,1.3000e+26,2.4894e+28,0.0000e+00,97.5,2.5,0.0
1,8.6434e+29,1.7882e+29,6.7841e+29,3.3000e+26,6.7800e+27,1.1389e+29,6.4930e+28,3.5835e+29,3.2006e+29,1.7000e+26,1.6000e+26,3.2300e+27,3.5500e+27,4.5270e+28,3.0800e+27,4.2159e+08,2.5428e+06,1.6967e+09,7.4704e-06,2.1775e+06,2.1376e+04,6.6622e+05,6.6612e+05,20.7,78.5,0.0,0.8,8.6501e+29,8.4430e+29,2.0520e+28,1.9000e+26,2.4887e+28,0.0000e+00,97.6,2.4,0.0
2,8.7583e+29,1.7746e+29,6.9128e+29,3.0000e+26,6.7900e+27,1.1148e+29,6.5980e+28,3.5734e+29,3.3394e+29,9.0000e+25,2.1000e+26,3.3500e+27,3.4400e+27,4.3500e+28,2.8400e+27,4.1622e+08,2.5933e+06,2.0066e+09,8.4181e-06,1.9509e+06,1.9728e+04,6.6611e+05,6.6595e+05,20.3,78.9,0.0,0.8,8.7510e+29,8.5387e+29,2.1050e+28,1.8000e+26,2.4871e+28,0.0000e+00,97.6,2.4,0.0
3,8.6888e+29,1.7790e+29,6.8389e+29,2.8000e+26,6.8100e+27,1.1128e+29,6.6620e+28,3.5211e+29,3.3178e+29,1.7000e+26,1.1000e+26,3.6100e+27,3.2000e+27,4.3740e+28,3.1200e+27,4.1127e+08,2.8780e+06,1.6369e+09,7.5227e-06,1.9368e+06,1.8194e+04,6.6595e+05,6.6572e+05,20.5,78.7,0.0,0.8,8.6856e+29,8.4675e+29,2.1620e+28,1.9000e+26,2.5031e+28,0.0000e+00,97.5,2.5,0.0
4,8.5792e+29,1.7426e+29,6.7651e+29,3.7000e+26,6.7800e+27,1.0887e+29,6.5390e+28,3.5077e+29,3.2574e+29,2.2000e+26,1.5000e+26,3.2200e+27,3.5600e+27,4.2360e+28,3.3200e+27,4.0742e+08,2.4588e+06,1.7449e+09,6.4934e-06,1.8443e+06,2.0085e+04,6.6572e+05,6.6543e+05,20.3,78.9,0.0,0.8,8.5773e+29,8.3659e+29,2.0980e+28,1.6000e+26,2.4818e+28,0.0000e+00,97.5,2.4,0.0
5,8.7050e+29,1.7289e+29,6.9048e+29,3.5000e+26,6.7800e+27,1.0765e+29,6.5240e+28,3.5209e+29,3.3839e+29,2.0000e+26,1.5000e+26,3.5100e+27,3.2700e+27,4.0810e+28,2.7500e+27,4.0216e+08,2.4524e+06,1.6756e+09,5.6011e-06,1.6782e+06,2.5894e+04,6.6542e+05,6.6507e+05,19.9,79.3,0.0,0.8,8.7180e+29,8.5008e+29,2.1510e+28,2.1000e+26,2.4779e+28,0.0000e+00,97.5,2.5,0.0
6,8.6602e+29,1.7427e+29,6.8466e+29,2.8000e+26,6.8100e+27,1.0740e+29,6.6870e+28,3.4439e+29,3.4027e+29,1.4000e+26,1.4000e+26,3.3800e+27,3.4300e+27,4.0730e+28,2.6600e+27,3.9770e+08,2.9187e+06,1.7277e+09,4.8253e-06,1.6407e+06,2.2686e+04,6.6506e+05,6.6464e+05,20.1,79.1,0.0,0.8,8.6552e+29,8.4358e+29,2.1710e+28,2.3000e+26,2.4915e+28,0.0000e+00,97.5,2.5,0.0
7,8.6380e+29,1.7335e+29,6.8331e+29,3.9000e+26,6.7500e+27,1.0728e+29,6.6070e+28,3.4913e+29,3.3418e+29,2.2000e+26,1.7000e+26,3.2800e+27,3.4700e+27,4.0960e+28,2.5500e+27,3.9309e+08,2.8047e+06,1.6827e+09,4.1629e-06,1.7756e+06,2.4454e+04,6.6464e+05,6.6415e+05,20.1,79.1,0.0,0.8,8.6395e+29,8.4271e+29,2.1020e+28,2.2000e+26,2.4680e+28,0.0000e+00,97.5,2.4,0.0
8,8.5386e+29,1.7279e+29,6.7394e+29,3.2000e+26,6.8100e+27,1.0626e+29,6.6530e+28,3.3679e+29,3.3715e+29,1.4000e+26,1.8000e+26,3.2400e+27,3.5700e+27,3.9640e+28,2.7400e+27,3.8923e+08,2.2928e+06,1.6271e+09,3.5909e-06,1.6850e+06,1.5134e+04,6.6415e+05,6.6359e+05,20.2,78.9,0.0,0.8,8.5488e+29,8.3417e+29,2.0400e+28,3.1000e+26,2.4800e+28,0.0000e+00,97.6,2.4,0.0
9,8.4597e+29,1.7063e+29,6.6829e+29,2.5000e+26,6.8000e+27,1.0360e+29,6.7030e+28,3.3772e+29,3.3057e+29,1.0000e+26,1.5000e+26,3.4400e+27,3.3600e+27,3.7820e+28,2.8800e+27,3.8497e+08,2.3510e+06,1.6305e+09,3.1023e-06,1.6431e+06,1.6108e+04,6.6359e+05,6.6297e+05,20.2,79.0,0.0,0.8,8.4421e+29,8.2333e+29,2.0580e+28,3.0000e+26,2.4731e+28,0.0000e+00,97.5,2.4,0.0
10,8.3314e+29,1.6782e+29,6.5823e+29,2.6000e+26,6.8300e+27,1.0290e+29,6.4920e+28,3.3566e+29,3.2257e+29,1.5000e+26,1.1000e+26,3.3000e+27,3.5300e+27,3.7780e+28,2.5000e+27,3.8091e+08,2.4482e+06,1.6796e+09,2.6860e-06,1.6754e+06,1.4764e+04,6.6297e+05,6.6229e+05,20.1,79.0,0.0,0.8,8.3577e+29,8.1466e+29,2.0790e+28,3.2000e+26,2.4655e+28,0.0000e+00,97.5,2.5,0.0
11,8.1726e+29,1.6622e+29,6.4401e+29,2.5000e+26,6.7800e+27,1.0153e+29,6.4690e+28,3.2775e+29,3.1626e+29,1.3000e+26,1.2000e+26,3.3700e+27,3.4100e+27,3.6790e+28,2.1700e+27,3.7666e+08,2.7125e+06,1.6325e+09,2.3321e-06,1.6561e+06,2.3024e+04,6.6228e+05,6.6154e+05,20.3,78.8,0.0,0.8,8.1715e+29,7.9627e+29,2.0550e+28,3.3000e+26,2.4572e+28,0.0000e+00,97.4,2.5,0.0
12,8.0460e+29,1.6546e+29,6.3209e+29,3.3000e+26,6.7200e+27,1.0044e+29,6.5020e+28,3.2422e+29,3.0787e+29,1.9000e+26,1.4000e+26,3.5300e+27,3.1900e+27,3.6370e+28,2.2500e+27,3.7192e+08,3.1829e+06,1.5454e+09,2.0321e-06,1.5879e+06,1.5593e+04,6.6153e+05,6.6073e+05,20.6,78.6,0.0,0.8,8.0490e+29,7.8494e+29,1.9670e+28,2.9000e+26,2.4481e+28,0.0000e+00,97.5,2.4,0.0
13,8.1435e+29,1.6426e+29,6.4303e+29,3.1000e+26,6.7500e+27,9.8810e+28,6.5450e+28,3.3450e+29,3.0853e+29,2.0000e+26,1.1000e+26,3.4000e+27,3.3500e+27,3.5000e+28,2.4000e+27,3.6761e+08,2.8566e+06,1.6442e+09,1.7781e-06,1.5765e+06,1.9671e+04,6.6072e+05,6.5985e+05,20.2,79.0,0.0,0.8,8.1416e+29,7.9415e+29,1.9520e+28,4.9000e+26,2.4383e+28,0.0000e+00,97.5,2.4,0.1
14,8.2366e+29,1.6671e+29,6.4976e+29,3.4000e+26,6.8500e+27,1.0043e+29,6.6280e+28,3.3289e+29,3.1687e+29,1.9000e+26,1.5000e+26,3.4300e+27,3.4200e+27,3.5020e+28,2.1600e+27,3.6283e+08,2.6823e+06,1.7679e+09,1.5621e-06,1.6738e+06,1.6406e+04,6.5985e+05,6.5891e+05,20.2,78.9,0.0,0.8,8.2324e+29,8.0198e+29,2.0720e+28,5.4000e+26,2.4456e+28,0.0000e+00,97.4,2.5,0.1
15,7.9010e+29,1.6352e+29,6.1966e+29,1.9000e+26,6.7300e+27,9.7770e+28,6.5750e+28,3.2200e+29,2.9766e+29,9.0000e+25,1.0000e+26,3.3200e+27,3.4100e+27,3.3580e+28,2.2300e+27,3.5835e+08,1.9573e+06,1.7090e+09,1.3803e-06,1.7007e+06,1.9561e+04,6.5891e+05,6.5791e+05,20.7,78.4,0.0,0.9,7.9311e+29,7.7328e+29,1.9340e+28,4.9000e+26,2.4343e+28,0.0000e+00,97.5,2.4,0.1
16,7.7689e+29,1.6113e+29,6.0873e+29,2.8000e+26,6.7500e+27,9.6690e+28,6.4440e+28,3.1453e+29,2.9420e+29,1.5000e+26,1.3000e+26,3.4500e+27,3.3000e+27,3.3190e+28,2.1800e+27,3.5451e+08,1.6299e+06,1.6385e+09,1.2276e-06,1.7520e+06,1.6657e+04,6.5790e+05,6.5685e+05,20.7,78.4,0.0,0.9,7.7621e+29,7.5753e+29,1.8160e+28,5.2000e+26,2.4223e+28,0.0000e+00,97.6,2.3,0.1
17,7.8452e+29,1.6146e+29,6.1598e+29,3.0000e+26,6.7800e+27,9.6100e+28,6.5360e+28,3.1251e+29,3.0347e+29,1.7000e+26,1.3000e+26,3.5000e+27,3.2800e+27,3.2870e+28,2.4200e+27,3.5029e+08,2.7762e+06,1.4716e+09,1.0997e-06,1.7390e+06,1.6259e+04,6.5684e+05,6.5572e+05,20.6,78.5,0.0,0.9,7.8362e+29,7.6457e+29,1.8240e+28,8.1000e+26,2.4097e+28,0.0000e+00,97.6,2.3,0.1
18,7.7529e+29,1.5757e+29,6.1067e+29,1.8000e+26,6.8700e+27,9.3710e+28,6.3860e+28,3.0880e+29,3.0187e+29,1.1000e+26,7.0000e+25,3.3800e+27,3.4900e+27,3.2470e+28,2.0200e+27,3.4579e+08,2.2191e+06,1.8414e+09,9.9236e-07,1.9009e+06,1.6556e+04,6.5572e+05,6.5454e+05,20.3,78.8,0.0,0.9,7.7710e+29,7.5828e+29,1.8160e+28,6.6000e+26,2.4138e+28,0.0000e+00,97.6,2.3,0.1
19,7.6194e+29,1.5727e+29,5.9752e+29,3.3000e+26,6.8200e+27,9.3100e+28,6.4170e+28,2.9603e+29,3.0149e+29,1.7000e+26,1.6000e+26,3.3400e+27,3.4800e+27,3.1030e+28,1.9500e+27,3.4170e+08,2.6035e+06,1.6270e+09,9.0346e-07,1.8167e+06,1.5585e+04,6.5453e+05,6.5329e+05,20.6,78.4,0.0,0.9,7.6194e+29,7.4337e+29,1.7780e+28,7.9000e+26,2.3997e+28,0.0000e+00,97.6,2.3,0.1
20,7.6195e+29,1.5849e+29,5.9624e+29,4.1000e+26,6.8100e+27,9.3460e+28,6.5030e+28,3.0142e+29,2.9482e+29,2.1000e+26,2.0000e+26,3.7000e+27,3.1100e+27,3.1930e+28,2.1800e+27,3.3874e+08,2.6944e+06,1.8169e+09,8.3044e-07,1.7128e+06,2.0503e+04,6.5328e+05,6.5198e+05,20.8,78.3,0.1,0.9,7.6173e+29,7.4333e+29,1.7540e+28,8.6000e+26,2.3850e+28,0.0000e+00,97.6,2.3,0.1
21,7.6343e+29,1.5579e+29,6.0059e+29,2.6000e+26,6.7900e+27,9.2590e+28,6.3200e+28,3.0805e+29,2.9254e+29,1.2000e+26,1.4000e+26,3.5600e+27,3.2300e+27,3.1210e+28,1.9800e+27,3.3551e+08,3.1881e+06,1.4825e+09,7.7124e-07,1.8081e+06,1.7510e+04,6.5197e+05,6.5062e+05,20.4,78.7,0.0,0.9,7.6442e+29,7.4575e+29,1.7630e+28,1.0400e+27,2.3697e+28,0.0000e+00,97.6,2.3,0.1
22,7.5910e+29,1.5687e+29,5.9503e+29,3.4000e+26,6.8600e+27,9.1430e+28,6.5440e+28,2.9332e+29,3.0171e+29,1.8000e+26,1.6000e+26,3.2700e+27,3.5900e+27,3.1600e+28,1.8400e+27,3.3257e+08,2.6198e+06,1.8804e+09,7.2386e-07,1.7306e+06,1.2222e+04,6.5061e+05,6.4919e+05,20.7,78.4,0.0,0.9,7.5982e+29,7.4063e+29,1.8030e+28,1.1600e+27,2.3707e+28,0.0000e+00,97.5,2.4,0.2
23,7.3844e+29,1.5685e+29,5.7455e+29,3.1000e+26,6.7300e+27,8.9740e+28,6.7110e+28,2.7672e+29,2.9783e+29,1.4000e+26,1.7000e+26,3.4400e+27,3.2900e+27,2.9900e+28,1.9400e+27,3.2888e+08,1.7454e+06,1.4998e+09,6.8743e-07,1.7544e+06,8.1427e+03,6.4918e+05,6.4771e+05,21.2,77.8,0.0,0.9,7.3839e+29,7.2005e+29,1.7010e+28,1.3300e+27,2.3541e+28,0.0000e+00,97.5,2.3,0.2
24,7.0946e+29,1.5196e+29,5.5051e+29,2.4000e+26,6.7500e+27,8.7550e+28,6.4410e+28,2.7510e+29,2.7541e+29,1.1000e+26,1.3000e+26,3.2600e+27,3.4900e+27,2.9880e+28,2.0900e+27,3.2550e+08,2.2888e+06,1.6552e+09,6.6101e-07,1.7308e+06,1.8229e+04,6.4770e+05,6.4618e+05,21.4,77.6,0.0,1.0,7.1033e+29,6.9325e+29,1.5690e+28,1.3900e+27,2.3369e+28,0.0000e+00,97.6,2.2,0.2
25,7.0728e+29,1.5383e+29,5.4627e+29,4.3000e+26,6.7500e+27,8.8600e+28,6.5230e+28,2.7169e+29,2.7458e+29,2.3000e+26,2.0000e+26,3.3800e+27,3.3700e+27,2.9780e+28,1.8100e+27,3.2151e+08,2.2742e+06,1.4126e+09,6.4369e-07,1.6678e+06,1.7886e+04,6.4616e+05,6.4457e+05,21.7,77.2,0.1,1.0,7.0882e+29,6.9089e+29,1.6200e+28,1.7300e+27,2.3357e+28,0.0000e+00,97.5,2.3,0.2
26,6.7861e+29,1.5089e+29,5.2059e+29,3.0000e+26,6.8300e+27,8.6660e+28,6.4230e+28,2.5926e+29,2.6133e+29,1.9000e+26,1.1000e+26,3.2500e+27,3.5800e+27,2.8730e+28,1.5400e+27,3.1793e+08,2.3290e+06,1.3875e+09,6.3544e-07,1.7108e+06,1.4354e+04,6.4456e+05,6.4292e+05,22.2,76.7,0.0,1.0,6.7839e+29,6.6171e+29,1.4720e+28,1.9600e+27,2.3172e+28,0.0000e+00,97.5,2.2,0.3
27,6.6045e+29,1.4802e+29,5.0538e+29,2.5000e+26,6.8000e+27,8.5750e+28,6.2270e+28,2.5497e+29,2.5041e+29,9.0000e+25,1.6000e+26,3.3600e+27,3.4400e+27,2.9760e+28,1.9600e+27,3.1479e+08,2.1613e+06,1.5658e+09,6.3459e-07,1.6598e+06,1.1979e+04,6.4291e+05,6.4121e+05,22.4,76.5,0.0,1.0,6.6206e+29,6.4590e+29,1.4340e+28,1.8200e+27,2.3144e+28,0.0000e+00,97.6,2.2,0.3
28,6.4621e+29,1.4659e+29,4.9252e+29,2.4000e+26,6.8600e+27,8.4760e+28,6.1830e+28,2.5007e+29,2.4245e+29,1.0000e+26,1.4000e+26,3.3000e+27,3.5600e+27,2.8590e+28,1.7200e+27,3.1171e+08,1.8592e+06,1.5016e+09,6.3616e-07,1.5645e+06,1.2299e+04,6.4120e+05,6.3944e+05,22.7,76.2,0.0,1.1,6.4680e+29,6.3120e+29,1.3420e+28,2.1800e+27,2.2947e+28,0.0000e+00,97.6,2.1,0.3
29,6.1830e+29,1.4346e+29,4.6781e+29,2.1000e+26,6.8200e+27,8.3770e+28,5.9690e+28,2.3861e+29,2.2920e+29,1.3000e+26,8.0000e+25,3.3200e+27,3.5000e+27,2.8610e+28,1.8600e+27,3.0837e+08,1.7951e+06,1.7796e+09,6.4621e-07,1.4115e+06,9.8984e+03,6.3943e+05,6.3763e+05,23.2,75.7,0.0,1.1,6.1924e+29,6.0349e+29,1.3640e+28,2.1100e+27,2.2746e+28,0.0000e+00,97.5,2.2,0.3
30,6.1757e+29,1.4408e+29,4.6636e+29,2.9000e+26,6.8400e+27,8.4260e+28,5.9820e+28,2.3328e+29,2.3308e+29,1.2000e+26,1.7000e+26,3.5200e+27,3.3200e+27,2.9230e+28,1.9700e+27,3.0547e+08,1.4016e+06,1.2440e+09,6.6612e-07,1.3541e+06,1.3078e+04,6.3761e+05,6.3575e+05,23.3,75.5,0.0,1.1,6.1767e+29,6.0205e+29,1.3080e+28,2.5400e+27,2.2698e+28,0.0000e+00,97.5,2.1,0.4
31,6.0728e+29,1.4234e+29,4.5796e+29,2.5000e+26,6.7300e+27,8.2480e+28,5.9860e+28,2.2629e+29,2.3167e+29,1.3000e+26,1.2000e+26,3.1500e+27,3.5800e+27,2.9500e+28,1.7700e+27,3.0298e+08,1.7820e+06,1.4218e+09,6.9720e-07,1.3651e+06,1.2684e+04,6.3574e+05,6.3383e+05,23.4,75.4,0.0,1.1,6.0812e+29,5.9304e+29,1.2580e+28,2.5000e+27,2.2485e+28,0.0000e+00,97.5,2.1,0.4
32,5.9180e+29,1.4235e+29,4.4245e+29,2.2000e+26,6.7800e+27,8.1490e+28,6.0860e+28,2.1689e+29,2.2556e+29,1.4000e+26,8.0000e+25,3.4400e+27,3.3400e+27,2.8490e+28,1.5000e+27,2.9988e+08,1.9290e+06,1.4571e+09,7.4087e-07,1.4027e+06,9.4181e+03,6.3382e+05,6.3185e+05,24.1,74.8,0.0,1.1,5.9248e+29,5.7808e+29,1.1830e+28,2.5700e+27,2.2423e+28,0.0000e+00,97.6,2.0,0.4
33,5.6875e+29,1.3580e+29,4.2592e+29,2.8000e+26,6.7500e+27,7.8170e+28,5.7630e+28,2.0877e+29,2.1715e+29,1.5000e+26,1.3000e+26,3.6000e+27,3.1500e+27,2.6990e+28,1.7600e+27,2.9719e+08,1.8483e+06,1.2543e+09,7.9966e-07,1.3670e+06,1.0664e+04,6.3184e+05,6.2983e+05,23.9,74.9,0.0,1.2,5.6894e+29,5.5448e+29,1.1480e+28,2.9800e+27,2.2200e+28,0.0000e+00,97.5,2.0,0.5
34,5.6561e+29,1.3704e+29,4.2139e+29,3.0000e+26,6.8800e+27,7.9240e+28,5.7800e+28,2.0795e+29,2.1344e+29,1.7000e+26,1.3000e+26,3.5400e+27,3.3400e+27,2.8470e+28,1.7300e+27,2.9426e+08,2.1545e+06,1.3548e+09,8.7627e-07,1.2724e+06,1.2638e+04,6.2981e+05,6.2775e+05,24.2,74.5,0.1,1.2,5.6645e+29,5.5265e+29,1.1210e+28,2.5900e+27,2.2125e+28,0.0000e+00,97.6,2.0,0.5
35,5.4029e+29,1.3581e+29,3.9733e+29,3.0000e+26,6.8500e+27,7.9340e+28,5.6470e+28,1.9723e+29,2.0010e+29,1.5000e+26,1.5000e+26,3.4200e+27,3.4300e+27,2.8830e+28,1.7600e+27,2.9207e+08,1.5012e+06,1.3457e+09,9.7540e-07,1.2564e+06,9.9477e+03,6.2773e+05,6.2563e+05,25.1,73.5,0.1,1.3,5.4145e+29,5.2714e+29,1.1090e+28,3.2200e+27,2.1892e+28,0.0000e+00,97.4,2.0,0.6
36,5.2717e+29,1.3363e+29,3.8653e+29,2.0000e+26,6.8100e+27,7.6400e+28,5.7230e+28,1.8761e+29,1.9892e+29,8.0000e+25,1.2000e+26,3.2700e+27,3.5400e+27,2.8760e+28,1.8200e+27,2.8962e+08,1.7754e+06,1.3825e+09,1.1019e-06,1.2675e+06,1.1531e+04,6.2561e+05,6.2345e+05,25.3,73.3,0.0,1.3,5.2771e+29,5.1388e+29,1.0570e+28,3.2600e+27,2.1804e+28,0.0000e+00,97.4,2.0,0.6
37,5.1124e+29,1.3125e+29,3.7293e+29,2.7000e+26,6.7900e+27,7.5610e+28,5.5640e+28,1.8647e+29,1.8646e+29,1.5000e+26,1.2000e+26,3.5000e+27,3.2900e+27,2.8050e+28,1.7600e+27,2.8691e+08,1.8164e+06,1.5322e+09,1.2640e-06,1.2631e+06,9.4081e+03,6.2343e+05,6.2123e+05,25.7,72.9,0.1,1.3,5.1232e+29,4.9842e+29,1.0400e+28,3.5000e+27,2.1562e+28,0.0000e+00,97.3,2.0,0.7
38,5.1540e+29,1.3239e+29,3.7583e+29,3.3000e+26,6.8500e+27,7.6240e+28,5.6150e+28,1.8670e+29,1.8913e+29,2.1000e+26,1.2000e+26,3.5400e+27,3.3100e+27,2.8160e+28,1.5400e+27,2.8428e+08,1.5681e+06,1.2142e+09,1.4704e-06,1.2646e+06,7.8739e+03,6.2121e+05,6.1896e+05,25.7,72.9,0.1,1.3,5.1516e+29,5.0216e+29,9.7500e+27,3.2500e+27,2.1463e+28,0.0000e+00,97.5,1.9,0.6
39,4.9685e+29,1.3003e+29,3.5973e+29,2.5000e+26,6.8400e+27,7.4500e+28,5.5530e+28,1.7699e+29,1.8274e+29,8.0000e+25,1.7000e+26,3.4700e+27,3.3700e+27,2.8380e+28,1.5000e+27,2.8139e+08,1.6723e+06,1.4146e+09,1.7358e-06,1.2631e+06,7.9513e+03,6.1895e+05,6.1665e+05,26.2,72.4,0.1,1.4,4.9696e+29,4.8422e+29,9.3900e+27,3.3500e+27,2.1213e+28,0.0000e+00,97.4,1.9,0.7
40,4.7974e+29,1.2819e+29,3.4459e+29,2.4000e+26,6.7200e+27,7.3560e+28,5.4630e+28,1.7201e+29,1.7258e+29,6.0000e+25,1.8000e+26,3.3600e+27,3.3600e+27,2.8670e+28,1.8700e+27,2.7960e+08,1.1846e+06,1.4956e+09,2.0757e-06,1.2585e+06,7.5261e+03,6.1664e+05,6.1430e+05,26.7,71.8,0.1,1.4,4.8023e+29,4.6793e+29,8.8400e+27,3.4600e+27,2.1102e+28,0.0000e+00,97.4,1.8,0.7
41,4.7502e+29,1.2469e+29,3.4325e+29,1.9000e+26,6.8900e+27,7.2070e+28,5.2620e+28,1.6566e+29,1.7759e+29,1.1000e+26,8.0000e+25,3.6400e+27,3.2500e+27,2.7850e+28,1.6700e+27,2.7721e+08,1.0424e+06,1.2329e+09,2.5162e-06,1.2475e+06,5.1402e+03,6.1428e+05,6.1189e+05,26.2,72.3,0.0,1.5,4.7537e+29,4.6312e+29,8.4700e+27,3.7800e+27,2.0985e+28,0.0000e+00,97.4,1.8,0.8
42,4.7181e+29,1.2518e+29,3.3954e+29,3.3000e+26,6.7600e+27,7.2220e+28,5.2960e+28,1.6853e+29,1.7101e+29,2.3000e+26,1.0000e+26,3.3600e+27,3.4000e+27,2.8540e+28,1.4400e+27,2.7454e+08,1.3961e+06,1.4716e+09,2.9259e-06,1.2017e+06,9.9621e+03,6.1187e+05,6.0945e+05,26.5,72.0,0.1,1.4,4.7175e+29,4.5954e+29,8.4800e+27,3.7300e+27,2.0722e+28,0.0000e+00,97.4,1.8,0.8
43,4.6486e+29,1.2396e+29,3.3377e+29,2.4000e+26,6.8900e+27,7.1810e+28,5.2150e+28,1.6483e+29,1.6894e+29,1.2000e+26,1.2000e+26,3.4900e+27,3.4000e+27,2.8990e+28,1.6300e+27,2.7264e+08,1.7318e+06,1.3158e+09,2.1811e-06,1.2156e+06,8.0690e+03,6.0943e+05,6.0696e+05,26.7,71.8,0.1,1.5,4.6582e+29,4.5360e+29,8.4600e+27,3.7600e+27,2.0595e+28,0.0000e+00,97.4,1.8,0.8
44,4.5539e+29,1.2213e+29,3.2598e+29,2.4000e+26,7.0400e+27,6.9910e+28,5.2220e+28,1.6391e+29,1.6207e+29,1.3000e+26,1.1000e+26,3.6500e+27,3.3900e+27,2.8170e+28,1.5200e+27,2.7061e+08,1.4772e+06,1.2294e+09,1.5866e-06,1.2415e+06,7.7959e+03,6.0695e+05,6.0445e+05,26.8,71.6,0.1,1.5,4.5616e+29,4.4462e+29,7.9500e+27,3.5900e+27,2.0327e+28,0.0000e+00,97.5,1.7,0.8
45,4.4058e+29,1.2208e+29,3.1146e+29,1.9000e+26,6.8500e+27,7.0110e+28,5.1970e+28,1.5738e+29,1.5408e+29,1.2000e+26,7.0000e+25,3.4100e+27,3.4400e+27,2.9110e+28,1.6200e+27,2.6905e+08,1.4584e+06,1.2878e+09,1.1213e-06,1.1714e+06,9.7399e+03,6.0443e+05,6.0189e+05,27.7,70.7,0.0,1.6,4.4021e+29,4.2908e+29,7.6400e+27,3.4900e+27,2.0190e+28,0.0000e+00,97.5,1.7,0.8
46,4.4177e+29,1.1864e+29,3.1607e+29,1.7000e+26,6.8900e+27,6.8830e+28,4.9810e+28,1.5845e+29,1.5762e+29,8.0000e+25,9.0000e+25,3.3400e+27,3.5500e+27,2.8770e+28,1.6800e+27,2.6770e+08,9.7453e+05,1.1566e+09,7.6764e-07,1.2158e+06,8.1261e+03,6.0187e+05,5.9928e+05,26.9,71.5,0.0,1.6,4.4215e+29,4.3066e+29,7.6800e+27,3.8100e+27,2.0048e+28,0.0000e+00,97.4,1.7,0.9
47,4.3730e+29,1.2070e+29,3.0963e+29,1.7000e+26,6.8000e+27,6.9870e+28,5.0830e+28,1.5889e+29,1.5074e+29,7.0000e+25,1.0000e+26,3.3900e+27,3.4100e+27,2.8910e+28,1.5300e+27,2.6539e+08,1.9051e+06,1.3610e+09,5.0733e-07,1.1195e+06,1.1739e+04,5.9926e+05,5.9664e+05,27.6,70.8,0.0,1.6,4.3763e+29,4.2608e+29,7.6900e+27,3.8600e+27,1.9900e+28,0.0000e+00,97.4,1.8,0.9
48,4.2521e+29,1.1711e+29,3.0120e+29,1.2000e+26,6.7800e+27,6.8720e+28,4.8390e+28,1.5809e+29,1.4311e+29,8.0000e+25,4.0000e+25,3.5100e+27,3.2700e+27,2.9670e+28,1.5700e+27,2.6314e+08,1.5765e+06,1.2110e+09,3.2333e-07,1.0454e+06,1.0308e+04,5.9662e+05,5.9397e+05,27.5,70.8,0.0,1.6,4.2544e+29,4.1441e+29,7.3100e+27,3.7200e+27,1.9619e+28,0.0000e+00,97.4,1.7,0.9
49,4.1415e+29,1.1673e+29,2.9036e+29,1.8000e+26,6.8800e+27,6.8830e+28,4.7900e+28,1.5093e+29,1.3943e+29,8.0000e+25,1.0000e+26,3.2300e+27,3.6500e+27,2.8960e+28,1.8700e+27,2.6132e+08,1.6438e+06,1.1408e+09,1.9725e-07,1.0766e+06,7.9422e+03,5.9395e+05,5.9125e+05,28.2,70.1,0.0,1.7,4.1466e+29,4.0379e+29,7.3900e+27,3.4800e+27,1.9463e+28,0.0000e+00,97.4,1.8,0.8
50,4.0731e+29,1.1405e+29,2.8628e+29,1.8000e+26,6.8000e+27,6.7260e+28,4.6790e+28,1.4036e+29,1.4592e+29,1.2000e+26,6.0000e+25,3.4100e+27,3.3900e+27,2.9070e+28,1.7200e+27,2.6055e+08,1.3193e+06,1.2319e+09,1.1452e-07,1.0546e+06,8.2901e+03,5.9123e+05,5.8850e+05,28.0,70.3,0.0,1.7,4.0811e+29,3.9741e+29,6.9500e+27,3.7500e+27,1.9302e+28,0.0000e+00,97.4,1.7,0.9
